Re,Shields Parameter
1.1,0.012
1.1,0.006
1.5,0.0071
0.6,0.0056
1.7,0.0068
1.8,0.0057
1.1,0.0078
1.1,0.0052
1.2,0.0055
1.2,0.0063
1.2,0.0063
1.2,0.0058
1.3,0.0065
1.4,0.006
1.4,0.0058
1.6,0.012
1.7,0.01
1.6,0.0093
1.9,0.0091
1.9,0.011
1.9,0.0093
1.9,0.0097
1.8,0.0086
2,0.0088
1.9,0.0081
1.9,0.008
1.2,0.008
1.3,0.0066
1.4,0.0067
1.2,0.0067
1.5,0.006
1.6,0.0058
1.3,0.0072
1.2,0.0087
1.2,0.011
1.1,0.0073
1.3,0.0082
1.3,0.0081
1.2,0.007
1.5,0.008
1.4,0.0066
1.5,0.0073
1.6,0.0069
1.6,0.0064
1.4,0.0092
1.7,0.01
1.7,0.0091
1.7,0.0092
1.7,0.0083
1.8,0.0075
1.3,0.02
1.3,0.017
1.3,0.013
0.9,0.011
0.9,0.0079
1,0.011
0.9,0.0066
