Polymer,Acronym,Density (g/cm^3)
Acrylonitrile Butadiene Styrene,ABS,1.21
Acrylonitrile Butadiene Styrene/Polycarbonate Blend,ABS/PC,1.15
Acrylonitrile Styrene Acrylate,ASA,1.07
Acrylonitrile Styrene Acrylate/Polycarbonate Blend,ASA/PC,1.15
Cellulose Acetate,CA,1.34
Cellulose Acetate Butyrate,CAB,1.22
Cellulose Propionate,CP,1.24
Chlorinated Polyvinyl Chloride,CPVC,1.55
Ethylene Tetrafluoroethylene,ETFE,1.7
Ethylene Vinyl Acetate,EVA,0.94
Ethylene Vinyl Alcohol,EVOH,1.2
High Density Polyethylene,HDPE,0.97
Low Denisty Polyethylene,LDPE,0.94
Polyacrylonitrile,PAN,1.15
Polyarylate,PAR,1.26
Polybutylene Terephthalate,PBT,1.4
Polycarbonate,PC,1.2
Polymonochlorotrifluoroethylene,PCTFE,2.2
Polyethylene,PE,1.28
Polyethylene/Thermoplastic Starch,PE/TPS,1.05
Polyetheretherketone,PEEK,1.32
Polyethersulfone,PESU,1.46
Polyethylene Terephthalate,PET,1.4
Polyethylene Terephthalate Glycol,PETG,1.38
Perfluoroalkoxy,PFA,2.2
Polyhydroxybutyrate,PHB,1.5
Polyimide,PI,1.43
Polylactide,PLA,1.25
Polymethylmethacrylate/Acrylic,PMMA,1.2
Polymethylpentene,PMP,0.84
Polyoxymethylene (Acetal),POM,1.42
Polypropylene,PP,0.92
Polyphthalamide,PPA,1.2
Polyethylene Sulfide,PPS,1.35
Polyphenylene Sulfone,PPSU,1.3
Polysulfone,PSU,1.25
Polytetrafluoroethylene,PTFE,2.2
Polyvinyl Chloride ,PVC,1.5
Polyvinylidene Chloride,PVDC,1.75
Polyvinylidene Fluoride,PVDF,1.8
Styrene Acrylonitrile,SAN,1.1
Stryrene Methyl Methacrylate,SMMA,1.13
Ultra High Molecular Weight Polyethylene,UHMWPE,0.95
